date,Date.1,Min_F,Avg_F,Max_F,Avg1.5m_DP,Avg1.5m_RH,Avg1.5m_LWu,AvgDir,Avg_Speedmph,2m_MaxGustmph,2_in_F,Min_F.1,Avg_F.1,TotPrecin,TotalSolarRad,EToin,ETrin
2012/06/11,11,46.8,63.8,78.4,41.4,47.1,0,S,3.1,12.8,,63.8,69.8,0,29.91,0.22,0.26
2012/06/12,12,55.1,65.9,76.8,47.5,52.4,0,SW,4.8,20.3,,69.2,72.9,0,20.81,0.19,0.24
2012/06/13,13,44.1,61.5,71,36.5,40.9,0,W,7,19.6,,68.2,73,0,32.3,0.24,0.32
2012/06/14,14,40.3,58.5,73.8,37.4,49,0,SW,3.8,15.3,,67.9,73,0,26.7,0.19,0.24
2012/06/15,15,39.6,60.8,76.4,38.1,47,0,S,3.2,11,,68,73.8,0,30.71,0.21,0.25
2012/06/16,16,54.7,70.5,84.6,48.3,47.2,0,SW,4.3,21,,72,77.1,0,25.69,0.23,0.3
2012/06/17,17,55.9,66.2,74.1,42.5,43.7,0,NW,8.2,26.4,,74.5,78.5,0,32.1,0.26,0.35
2012/06/18,18,45.3,58.2,66.2,36.5,45.3,0,NW,9.1,23.9,,72.4,76.1,0,30.95,0.23,0.31
2012/06/19,19,44.4,57.2,68.9,36.7,48,0,SW,3.6,15,,69.9,73.7,0,21.8,0.16,0.21
2012/06/20,20,46.3,62.4,76,39.7,46.4,0,S,3.7,12.4,,69.4,75,0,30.51,0.22,0.27
2012/06/21,21,57.1,72.1,85,43.7,38.1,0.02,S,2.8,9.6,,73.3,78.9,0,30.41,0.24,0.3
2012/06/22,22,53.7,62.6,72.2,53.1,72.3,0.38,SW,3,15,,72.7,76.8,0.06,8.47,0.09,0.11
2012/06/23,23,47,57.8,68.6,46.2,68.2,0.25,SW,3.7,21,,69.1,72.7,0,25.59,0.17,0.2
2012/06/24,24,46.3,59.1,71.6,40.3,52.5,0,S,3.6,15.3,,69.4,73.5,0,23.7,0.18,0.22
2012/06/25,25,50.4,61.4,73.6,42.6,51.9,0.01,SW,3.9,15,,70.4,74.2,0.01,22.49,0.18,0.23
2012/06/26,26,44.7,54.7,62.4,44,68.5,0.33,SW,4.5,20,,67.5,70.2,0.16,12.21,0.1,0.13
2012/06/27,27,43.2,59.7,74.3,42.6,55.8,0,S,3.7,12.8,,63.6,69.6,0,31.01,0.21,0.25
2012/06/28,28,50.3,67.4,82,44.3,45.9,0,S,3.9,17.8,,69.1,74.1,0,23.5,0.21,0.27
2012/06/29,29,54,68.8,81,51.1,54.8,0.04,S,3.5,12.8,,71.9,76.3,0,23.42,0.19,0.24
2012/06/30,30,57.8,68.7,80.1,54.6,62.6,0.01,S,3.6,17.5,,73.8,77.7,0,21.91,0.18,0.22
2012/07/01,1,53.5,67.7,79.8,47,51.4,0,SW,3.7,14.2,,74,79,0,29.69,0.23,0.28
2012/07/02,2,49.5,65.1,80.8,44.8,50.5,0,S,3.5,11.7,,74.6,78.8,0,23.53,0.2,0.25
2012/07/03,3,48.5,59.8,67,39.4,48.4,0,W,6.6,25.3,,74.5,77.7,0,27.52,0.21,0.27
2012/07/04,4,43.5,60.2,73.9,39,48,0,S,3.4,10.3,,71.7,77,0,30.58,0.21,0.25
2012/07/05,5,47.5,67.1,82.9,43.1,45.8,0,S,3.4,13.2,,73.8,79.4,0,30.94,0.23,0.29
2012/07/06,6,52.2,72.8,88.9,46.6,42.9,0,S,3.4,11,,76.5,81.9,0,30.13,0.25,0.32
2012/07/07,7,57.7,78,94.5,50.8,42,0,SE,3,9.6,,79.2,84.7,0,30.23,0.26,0.32
2012/07/08,8,61.3,81.6,99.1,54.1,42.4,0.02,S,3.2,28.6,,81.7,87.1,0.19,29.08,0.27,0.34
2012/07/09,9,66,82.1,97,54.9,42.4,0,S,4.2,20.3,,81.8,86.4,0,28.14,0.28,0.36
2012/07/10,10,64.6,80.9,94.6,46.6,32.4,0,S,4.1,18.9,,81.8,87,0,29.78,0.29,0.39
2012/07/11,11,61.9,78.3,94.4,50,39.6,0,S,3.1,13.2,,82.3,87.6,0,30.24,0.27,0.33
2012/07/12,12,60,78.5,92.9,54.4,46.1,0,S,3.2,14.6,,83.6,87.5,0,24.07,0.23,0.29
2012/07/13,13,60.6,77.6,91.9,52.3,44.7,0,S,3.2,10.3,,82.7,87.9,0,29.64,0.25,0.31
2012/07/14,14,62.5,71.1,86.7,57.2,63.1,0.06,SW,3.4,26.4,,82.8,85.2,0.05,12.52,0.15,0.2
